Key,Id,Shared Comments,Korean(ko),English(en)
MON_001_NAME,8001,,초록 슬라임,Green Slime
MON_001_DESC,8002,,에버그린 숲에 가장 흔히 출몰하는 젤리형 몬스터. 독성 점액을 분비한다.,A jelly-type monster commonly found in Evergreen Forest. Secretes toxic slime.
MON_002_NAME,8003,,불꽃 슬라임,Flame Slime
MON_002_DESC,8004,,용암 지대에서 흘러온 슬라임. 몸체가 뜨겁게 달아올라 있다.,A slime from the lava zone. Its body burns with intense heat.
MON_003_NAME,8005,,숲 고블린,Forest Goblin
MON_003_DESC,8006,,에버그린 숲을 근거지로 삼는 소형 인간형 몬스터. 뼈 몽둥이를 휘두른다.,A small humanoid monster that calls Evergreen Forest home. Wields a bone club.
MON_004_NAME,8007,,거대 버섯인간,Giant Mushroom Man
MON_004_DESC,8008,,숲 깊은 곳의 균류에서 태어난 몬스터. 포자를 뿜어 시야를 흐린다.,A monster born from fungi deep in the forest. Releases spores to obscure vision.
MON_005_NAME,8009,,숲 보스 — 그린 웜,Forest Boss — Green Worm
MON_005_DESC,8010,,에버그린 숲 지하에 서식하는 대형 지렁이 몬스터. 땅을 파고들어 기습한다.,A giant worm monster living beneath Evergreen Forest. Burrows underground to ambush prey.
ING_001_NAME,8011,,슬라임 젤리,Slime Jelly
ING_001_DESC,8012,,초록 슬라임에서 채취한 투명한 젤리. 탄력이 있고 달콤하다.,Translucent jelly harvested from green slimes. Elastic and sweet.
ING_002_NAME,8013,,불꽃 슬라임 코어,Flame Slime Core
ING_002_DESC,8014,,불꽃 슬라임의 핵심 부위. 식히면 매콤한 향이 난다.,The core of a flame slime. When cooled, it gives off a spicy aroma.
ING_003_NAME,8015,,고블린 뼈,Goblin Bone
ING_003_DESC,8016,,숲 고블린의 단단한 소형 뼈. 육수 재료로 활용된다.,Small dense bones from forest goblins. Used to make rich stock.
ING_004_NAME,8017,,고블린 고기,Goblin Meat
ING_004_DESC,8018,,숲 고블린의 살코기. 잡내가 있어 손질이 필요하다.,Flesh from forest goblins. Has a gamey smell and requires preparation.
ING_005_NAME,8019,,버섯인간 갓,Mushroom Cap
ING_005_DESC,8020,,거대 버섯인간의 우산 부위. 풍미가 깊고 두툼하다.,The cap of a giant mushroom man. Rich in flavor and satisfyingly thick.
ING_006_NAME,8021,,버섯인간 포자,Mushroom Spore
ING_006_DESC,8022,,버섯인간이 분비하는 포자. 소량이면 향신료로 쓸 수 있다.,Spores secreted by mushroom men. In small amounts they work as seasoning.
ING_007_NAME,8023,,그린 웜 고기,Green Worm Meat
ING_007_DESC,8024,,그린 웜의 대형 살코기. 쫄깃하고 영양이 풍부하다.,Large cuts of meat from the green worm. Chewy and highly nutritious.
ING_008_NAME,8025,,그린 웜 껍질,Green Worm Hide
ING_008_DESC,8026,,그린 웜의 두꺼운 외피. 오래 끓이면 국물이 진해진다.,The thick outer skin of a green worm. Long boiling creates a rich broth.
FOOD_001_NAME,8027,,슬라임 젤리 디저트,Slime Jelly Dessert
FOOD_001_DESC,8028,,달콤한 슬라임 젤리를 굳혀 만든 디저트. 회복 효과가 있다.,A dessert made by setting sweet slime jelly. Has a restorative effect.
FOOD_002_NAME,8029,,매콤 슬라임 볶음,Spicy Slime Stir-fry
FOOD_002_DESC,8030,,불꽃 슬라임 코어를 볶아낸 매콤한 요리. 공격력이 오른다.,A spicy stir-fry made from flame slime cores. Increases attack power.
FOOD_003_NAME,8031,,고블린 뼈 육수,Goblin Bone Broth
FOOD_003_DESC,8032,,고블린 뼈를 우려낸 깊은 육수. 체력 회복에 탁월하다.,Rich stock simmered from goblin bones. Excellent for HP recovery.
FOOD_004_NAME,8033,,버섯 갓 구이,Grilled Mushroom Cap
FOOD_004_DESC,8034,,버섯인간의 갓을 두툼하게 썰어 구운 요리. 방어력이 오른다.,Thick slices of mushroom cap seared in a pan. Increases defense.
